# Data : M:\images\zeisspalm\Manchen Zhao\15_05_27
# Processed by : 
# Bandpass Filter : [0.80, 1.50]
# Minum peak Intensity : 45.00
# PSF Width : 1.10
# Window Diameter : 9.0
# Histogram Bins : 100
#############################
Brightness	15_05_13 DDS only Sample EPI power 5.5 Image 1	15_05_13 DDS only Sample TIRF power 5.5 Image 2	15_05_13 DDS only Sample part bleached Image 3	Control (10) EPI power 7.1 Image 1	Control (10) EPI power 7.1 Image 2	Control (10) TIRF power 1.0 area1 Image 5	Control (10) TIRF power 1.0 area2 Image 7	Control (10) TIRF power 1.0 area3 Image 9	Control (10) TIRF power 7.1 Image 3	Control (10) TIRF power 7.1 Image 4	Control (10) TIRF power 7.1 area1 Image 6	Control (10) TIRF power 7.1 area2 Image 8	Control (10) TIRF power 7.1 area3 Image 10	Control (11) TIRF power 7.1 Image 1	Control (11) TIRF power 7.1 Image 2	Sample -12 Image 1	Sample -12 part bleached Image 6	Sample -12 power 1.0 area1 Image 2	Sample -12 power 1.0 area2 Image 4	Sample -12 power 10 Image 7	Sample -12 power 10 Image 8	Sample -12 power 7.1 area1 Image 3	Sample -12 power 7.1 area2 Image 5	Sample -12(2) power 1.0 area1 Image 3	Sample -12(2) power 10 Image 1	Sample -12(2) power 10 Image 2	Sample -12(2) power 7.1 area1 Image 4	Sample -13 power 10 Image 1	Sample -13 power 10 Image 2	Sample -13 power 7.1 Image 3	Sample -13 power 7.1 Image 4	Sample -13(2) power 1.0 area1 Image 4	Sample -13(2) power 10 Image 2	Sample -13(2) power 10 Image 3	Sample -13(2) power 7.1 Image 1	Sample -13(2) power 7.1 area1 Image 5	Sample -14 power 1.0 area1 Image 1	Sample -14 power 10 Image 3	Sample -14 power 10 Image 4	Sample -14 power 20 Image 7	Sample -14 power 20 Image 8	Sample -14 power 40 Image 5	Sample -14 power 40 Image 6	Sample -14 power 7.1 area1 Image 2	Sample -14(2) power 1.0 area1 Image 3	Sample -14(2) power 10 Image 1	Sample -14(2) power 10 Image 2	Sample -14(2) power 7.1 area1 Image 4	Sample -15 power 10 Image 1	Sample -15 power 10 Image 2	Sample -15 power 20 Image 5	Sample -15 power 7.1 Image 3	Sample -15 power 7.1 Image 4
0.000	7542.972	482.000	236.000	15.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	7786.828	439.000	302.000	8.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	8030.683	402.000	327.000	4.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	8274.538	341.000	332.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	8518.394	290.000	282.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	8762.249	253.000	365.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	9006.104	208.000	396.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	9249.960	205.000	356.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	9493.815	149.000	355.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	9737.670	108.000	412.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	9981.526	119.000	377.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	10225.381	79.000	400.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	10469.236	72.000	371.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
